"","x"
"1","AL627309.1"
"2","AL669831.5"
"3","FAM87B"
"4","LINC00115"
"5","FAM41C"
"6","SAMD11"
"7","NOC2L"
"8","KLHL17"
"9","PLEKHN1"
"10","PERM1"
"11","AL645608.8"
"12","HES4"
"13","ISG15"
"14","AGRN"
"15","AL645608.9"
"16","C1orf159"
"17","TTLL10"
"18","TNFRSF18"
"19","TNFRSF4"
"20","SDF4"
"21","B3GALT6"
"22","C1QTNF12"
"23","AL162741.1"
"24","UBE2J2"
"25","SCNN1D"
"26","ACAP3"
"27","PUSL1"
"28","INTS11"
"29","CPTP"
"30","TAS1R3"
"31","DVL1"
"32","MXRA8"
"33","AURKAIP1"
"34","CCNL2"
"35","MRPL20"
"36","AL391244.3"
"37","ANKRD65"
"38","VWA1"
"39","ATAD3C"
"40","ATAD3B"
"41","ATAD3A"
"42","TMEM240"
"43","SSU72"
"44","AL645728.1"
"45","FNDC10"
"46","AL691432.2"
"47","MIB2"
"48","MMP23B"
"49","CDK11B"
"50","FO704657.1"
"51","SLC35E2B"
"52","CDK11A"
"53","SLC35E2A"
"54","NADK"
"55","GNB1"
"56","AL109917.1"
"57","TMEM52"
"58","CFAP74"
"59","GABRD"
"60","PRKCZ"
"61","AL590822.2"
"62","PRKCZ-AS1"
"63","FAAP20"
"64","SKI"
"65","MORN1"
"66","RER1"
"67","PEX10"
"68","PLCH2"
"69","PANK4"
"70","HES5"
"71","AL139246.5"
"72","TNFRSF14-AS1"
"73","TNFRSF14"
"74","AL139246.3"
"75","FAM213B"
"76","MMEL1"
"77","TTC34"
"78","PRDM16"
"79","ARHGEF16"
"80","MEGF6"
"81","AL513320.1"
"82","TPRG1L"
"83","WRAP73"
"84","TP73"
"85","SMIM1"
"86","LRRC47"
"87","CEP104"
"88","DFFB"
"89","C1orf174"
"90","LINC01134"
"91","AJAP1"
"92","NPHP4"
"93","KCNAB2"
"94","CHD5"
"95","RPL22"
"96","RNF207"
"97","ICMT"
"98","LINC00337"
"99","GPR153"
"100","ACOT7"
"101","AL031848.2"
"102","HES2"
"103","TNFRSF25"
"104","PLEKHG5"
"105","NOL9"
"106","ZBTB48"
"107","KLHL21"
"108","PHF13"
"109","THAP3"
"110","DNAJC11"
"111","CAMTA1-DT"
"112","CAMTA1"
"113","VAMP3"
"114","PER3"
"115","Z98884.1"
"116","UTS2"
"117","TNFRSF9"
"118","PARK7"
"119","AL034417.4"
"120","AL034417.3"
"121","ERRFI1"
"122","AL034417.2"
"123","AL358876.2"
"124","SLC45A1"
"125","RERE"
"126","ENO1"
"127","ENO1-AS1"
"128","SLC2A5"
"129","GPR157"
"130","MIR34AHG"
"131","LINC01759"
"132","H6PD"
"133","SPSB1"
"134","AL928921.2"
"135","SLC25A33"
"136","TMEM201"
"137","PIK3CD"
"138","PIK3CD-AS1"
"139","PIK3CD-AS2"
"140","CLSTN1"
"141","CTNNBIP1"
"142","LZIC"
"143","NMNAT1"
"144","RBP7"
"145","UBE4B"
"146","KIF1B"
"147","AL139424.3"
"148","AL139424.2"
"149","PGD"
"150","CENPS-CORT"
"151","CENPS"
"152","DFFA"
"153","PEX14"
"154","CASZ1"
"155","AL139423.1"
"156","C1orf127"
"157","TARDBP"
"158","MASP2"
"159","AL109811.3"
"160","SRM"
"161","EXOSC10"
"162","AL109811.1"
"163","AL109811.2"
"164","MTOR"
"165","UBIAD1"
"166","DISP3"
"167","FBXO2"
"168","FBXO44"
"169","FBXO6"
"170","MAD2L2"
"171","DRAXIN"
"172","AGTRAP"
"173","C1orf167"
"174","MTHFR"
"175","CLCN6"
"176","NPPA-AS1"
"177","NPPA"
"178","KIAA2013"
"179","PLOD1"
"180","MFN2"
"181","MIIP"
"182","TNFRSF8"
"183","TNFRSF1B"
"184","VPS13D"
"185","DHRS3"
"186","AC254633.1"
"187","PDPN"
"188","PRDM2"
"189","KAZN"
"190","TMEM51-AS1"
"191","TMEM51"
"192","FHAD1"
"193","AL031283.2"
"194","AL031283.1"
"195","EFHD2"
"196","CTRC"
"197","CELA2A"
"198","CASP9"
"199","DNAJC16"
"200","AGMAT"
"201","AL121992.1"
"202","DDI2"
"203","AL121992.2"
"204","PLEKHM2"
"205","SLC25A34"
"206","FBLIM1"
"207","UQCRHL"
"208","AL450998.2"
"209","SPEN"
"210","ZBTB17"
"211","SRARP"
"212","HSPB7"
"213","FAM131C"
"214","EPHA2"
"215","ARHGEF19"
"216","CPLANE2"
"217","FBXO42"
"218","SZRD1"
