"","x"
"1","AL669831.5"
"2","LINC00115"
"3","NOC2L"
"4","KLHL17"
"5","PLEKHN1"
"6","HES4"
"7","ISG15"
"8","AL645608.2"
"9","AGRN"
"10","C1orf159"
"11","TNFRSF18"
"12","TNFRSF4"
"13","SDF4"
"14","B3GALT6"
"15","C1QTNF12"
"16","UBE2J2"
"17","SCNN1D"
"18","ACAP3"
"19","PUSL1"
"20","INTS11"
"21","CPTP"
"22","DVL1"
"23","MXRA8"
"24","AURKAIP1"
"25","CCNL2"
"26","MRPL20"
"27","ATAD3C"
"28","ATAD3B"
"29","ATAD3A"
"30","SSU72"
"31","AL645728.1"
"32","FNDC10"
"33","AL691432.2"
"34","MIB2"
"35","MMP23B"
"36","CDK11B"
"37","FO704657.1"
"38","SLC35E2B"
"39","CDK11A"
"40","SLC35E2A"
"41","NADK"
"42","GNB1"
"43","TMEM52"
"44","PRKCZ"
"45","FAAP20"
"46","SKI"
"47","MORN1"
"48","RER1"
"49","PEX10"
"50","PLCH2"
"51","PANK4"
"52","AL139246.5"
"53","TNFRSF14-AS1"
"54","TNFRSF14"
"55","AL139246.3"
"56","FAM213B"
"57","MMEL1"
"58","MEGF6"
"59","TPRG1L"
"60","WRAP73"
"61","TP73"
"62","SMIM1"
"63","LRRC47"
"64","CEP104"
"65","DFFB"
"66","C1orf174"
"67","NPHP4"
"68","KCNAB2"
"69","RPL22"
"70","RNF207"
"71","ICMT"
"72","GPR153"
"73","ACOT7"
"74","AL031848.2"
"75","ESPN"
"76","TNFRSF25"
"77","PLEKHG5"
"78","NOL9"
"79","ZBTB48"
"80","KLHL21"
"81","PHF13"
"82","THAP3"
"83","DNAJC11"
"84","CAMTA1-DT"
"85","CAMTA1"
"86","VAMP3"
"87","PER3"
"88","Z98884.1"
"89","UTS2"
"90","TNFRSF9"
"91","PARK7"
"92","AL034417.4"
"93","ERRFI1"
"94","SLC45A1"
"95","RERE"
"96","ENO1"
"97","ENO1-AS1"
"98","CA6"
"99","GPR157"
"100","MIR34AHG"
"101","LINC01759"
"102","H6PD"
"103","SPSB1"
"104","SLC25A33"
"105","TMEM201"
"106","PIK3CD"
"107","PIK3CD-AS1"
"108","PIK3CD-AS2"
"109","CLSTN1"
"110","CTNNBIP1"
"111","LZIC"
"112","NMNAT1"
"113","UBE4B"
"114","KIF1B"
"115","PGD"
"116","CENPS-CORT"
"117","CENPS"
"118","DFFA"
"119","PEX14"
"120","CASZ1"
"121","AL139423.1"
"122","TARDBP"
"123","AL109811.3"
"124","SRM"
"125","EXOSC10"
"126","MTOR"
"127","UBIAD1"
"128","DISP3"
"129","FBXO2"
"130","FBXO44"
"131","FBXO6"
"132","MAD2L2"
"133","DRAXIN"
"134","AGTRAP"
"135","MTHFR"
"136","CLCN6"
"137","NPPA"
"138","KIAA2013"
"139","PLOD1"
"140","MFN2"
"141","MIIP"
"142","TNFRSF8"
"143","TNFRSF1B"
"144","VPS13D"
"145","DHRS3"
"146","AC254633.1"
"147","PDPN"
"148","PRDM2"
"149","KAZN"
"150","FHAD1"
"151","AL031283.1"
"152","EFHD2"
"153","CASP9"
"154","DNAJC16"
"155","AGMAT"
"156","DDI2"
"157","PLEKHM2"
"158","SLC25A34"
"159","UQCRHL"
"160","AL450998.2"
"161","SPEN"
"162","ZBTB17"
"163","FAM131C"
"164","ARHGEF19"
"165","CPLANE2"
"166","FBXO42"
"167","SZRD1"
"168","SPATA21"
"169","NECAP2"
"170","LINC01772"
"171","AL137802.2"
"172","NBPF1"
"173","CROCC"
"174","BX284668.5"
"175","BX284668.6"
"176","ATP13A2"
"177","SDHB"
"178","PADI2"
"179","PADI4"
"180","RCC2"
"181","ALDH4A1"
"182","IFFO2"
"183","UBR4"
"184","AL035413.1"
"185","EMC1"
"186","MRTO4"
"187","AKR7A2"
"188","PQLC2"
"189","CAPZB"
"190","MINOS1"
"191","NBL1"
"192","HTR6"
"193","TMCO4"
"194","OTUD3"
"195","UBXN10-AS1"
"196","CAMK2N1"
"197","MUL1"
"198","CDA"
"199","PINK1"
"200","PINK1-AS"
"201","DDOST"
"202","HP1BP3"
"203","EIF4G3"
"204","ECE1"
"205","AL031728.1"
"206","NBPF3"
"207","ALPL"
"208","RAP1GAP"
"209","USP48"
"210","LINC01635"
"211","CDC42"
"212","ZBTB40"
"213","C1QA"
"214","C1QC"
"215","C1QB"
"216","KDM1A"
"217","LUZP1"
"218","LINC01355"
"219","HNRNPR"
"220","ZNF436"
"221","ZNF436-AS1"
"222","TCEA3"
"223","ASAP3"
"224","E2F2"
"225","ID3"
"226","MDS2"
"227","RPL11"
"228","ELOA"
"229","ELOA-AS1"
"230","PITHD1"
"231","LYPLA2"
"232","GALE"
"233","HMGCL"
"234","FUCA1"
"235","PNRC2"
"236","SRSF10"
"237","IFNLR1"
"238","STPG1"
"239","NIPAL3"
"240","RCAN3"
"241","AL445686.2"
"242","SRRM1"
"243","CLIC4"
"244","RUNX3"
"245","AL445471.1"
"246","SYF2"
"247","AL031432.5"
"248","RSRP1"
"249","TMEM50A"
"250","RHCE"
"251","MACO1"
"252","LDLRAP1"
"253","MAN1C1"
"254","AL031280.1"
"255","SELENON"
"256","AL020996.1"
"257","MTFR1L"
"258","AUNIP"
"259","AL033528.2"
"260","PAQR7"
"261","STMN1"
"262","PAFAH2"
