"","x"
"1","AL627309.1"
"2","AL669831.5"
"3","FAM87B"
"4","LINC00115"
"5","FAM41C"
"6","AL645608.3"
"7","AL645608.5"
"8","AL645608.1"
"9","SAMD11"
"10","NOC2L"
"11","KLHL17"
"12","PLEKHN1"
"13","PERM1"
"14","AL645608.8"
"15","HES4"
"16","ISG15"
"17","AGRN"
"18","RNF223"
"19","C1orf159"
"20","TTLL10"
"21","TNFRSF18"
"22","TNFRSF4"
"23","SDF4"
"24","B3GALT6"
"25","C1QTNF12"
"26","AL162741.1"
"27","UBE2J2"
"28","LINC01786"
"29","SCNN1D"
"30","ACAP3"
"31","PUSL1"
"32","INTS11"
"33","CPTP"
"34","TAS1R3"
"35","DVL1"
"36","MXRA8"
"37","AURKAIP1"
"38","CCNL2"
"39","MRPL20"
"40","AL391244.3"
"41","ANKRD65"
"42","VWA1"
"43","ATAD3C"
"44","ATAD3B"
"45","ATAD3A"
"46","TMEM240"
"47","SSU72"
"48","AL645728.1"
"49","FNDC10"
"50","AL691432.2"
"51","MIB2"
"52","MMP23B"
"53","CDK11B"
"54","FO704657.1"
"55","SLC35E2B"
"56","CDK11A"
"57","SLC35E2A"
"58","NADK"
"59","GNB1"
"60","AL109917.1"
"61","TMEM52"
"62","CFAP74"
"63","GABRD"
"64","PRKCZ"
"65","AL590822.2"
"66","PRKCZ-AS1"
"67","FAAP20"
"68","SKI"
"69","MORN1"
"70","RER1"
"71","PEX10"
"72","PANK4"
"73","HES5"
"74","AL139246.5"
"75","TNFRSF14-AS1"
"76","TNFRSF14"
"77","FAM213B"
"78","MMEL1"
"79","TTC34"
"80","LINC00982"
"81","PRDM16"
"82","ARHGEF16"
"83","MEGF6"
"84","AL513320.1"
"85","TPRG1L"
"86","WRAP73"
"87","TP73"
"88","SMIM1"
"89","LRRC47"
"90","CEP104"
"91","DFFB"
"92","C1orf174"
"93","LINC01134"
"94","AJAP1"
"95","NPHP4"
"96","KCNAB2"
"97","CHD5"
"98","RPL22"
"99","RNF207"
"100","ICMT"
"101","GPR153"
"102","ACOT7"
"103","AL031848.2"
"104","HES2"
"105","ESPN"
"106","TNFRSF25"
"107","PLEKHG5"
"108","NOL9"
"109","TAS1R1"
"110","ZBTB48"
"111","KLHL21"
"112","PHF13"
"113","THAP3"
"114","DNAJC11"
"115","CAMTA1-DT"
"116","CAMTA1"
"117","AL359881.3"
"118","AL359881.2"
"119","AL359881.1"
"120","VAMP3"
"121","PER3"
"122","TNFRSF9"
"123","PARK7"
"124","AL034417.4"
"125","AL034417.3"
"126","ERRFI1"
"127","AL034417.2"
"128","SLC45A1"
"129","RERE"
"130","AL357552.2"
"131","ENO1"
"132","ENO1-AS1"
"133","SLC2A5"
"134","GPR157"
"135","MIR34AHG"
"136","LINC01759"
"137","H6PD"
"138","SPSB1"
"139","BX323043.1"
"140","AL928921.2"
"141","SLC25A33"
"142","TMEM201"
"143","PIK3CD"
"144","PIK3CD-AS2"
"145","CLSTN1"
"146","CTNNBIP1"
"147","LZIC"
"148","NMNAT1"
"149","RBP7"
"150","UBE4B"
"151","KIF1B"
"152","AL139424.3"
"153","AL139424.2"
"154","PGD"
"155","AL139424.1"
"156","CENPS-CORT"
"157","CENPS"
"158","CORT"
"159","DFFA"
"160","AL354956.1"
"161","PEX14"
"162","CASZ1"
"163","AL139423.1"
"164","TARDBP"
"165","MASP2"
"166","AL109811.3"
"167","SRM"
"168","EXOSC10"
"169","AL109811.1"
"170","AL109811.2"
"171","MTOR"
"172","UBIAD1"
"173","DISP3"
"174","AL031731.1"
"175","FBXO2"
"176","FBXO44"
"177","FBXO6"
"178","MAD2L2"
"179","DRAXIN"
"180","AGTRAP"
"181","C1orf167"
"182","MTHFR"
"183","CLCN6"
"184","NPPA-AS1"
"185","NPPA"
"186","NPPB"
"187","KIAA2013"
"188","PLOD1"
"189","MFN2"
"190","MIIP"
"191","TNFRSF1B"
"192","VPS13D"
"193","DHRS3"
"194","C1orf158"
"195","PDPN"
"196","PRDM2"
"197","KAZN"
"198","AL357873.1"
"199","TMEM51-AS1"
"200","TMEM51"
"201","FHAD1"
"202","AL031283.2"
"203","AL031283.1"
"204","EFHD2"
"205","CTRC"
"206","CELA2A"
"207","CASP9"
"208","DNAJC16"
"209","AGMAT"
"210","AL121992.1"
"211","DDI2"
"212","AL121992.2"
"213","PLEKHM2"
"214","SLC25A34"
"215","SLC25A34-AS1"
"216","FBLIM1"
"217","UQCRHL"
"218","AL450998.2"
